id,length,width,height,weight_kg,fragile,volume_cm3,density,size_category
75,110.0,18.4,47.6,28.077,False,96342.4,0.0002914293187630784,Large
76,38.5,33.6,12.0,1.446,True,15523.2,9.315089672232529e-05,Large
77,82.9,76.0,32.6,13.133,False,205393.04000000004,6.39408229217504e-05,Large
78,44.3,32.6,24.9,20.837,False,35960.082,0.0005794480668870555,Large
79,67.2,46.3,23.3,30.0,False,72494.68800000001,0.000413823423862449,Large
80,70.1,59.2,78.0,30.0,False,323693.76,9.268019253753919e-05,Large
81,30.3,35.5,34.5,10.202,False,37109.925,0.0002749129781318609,Large
82,116.7,78.0,71.9,30.0,False,654476.9400000001,4.5838131439741785e-05,Large
83,95.3,77.4,52.3,30.0,True,385776.306,7.776527364021159e-05,Large
84,113.3,27.6,64.6,30.0,False,202009.368,0.0001485079642445097,Large
85,108.4,44.8,42.7,30.0,True,207364.864,0.00014467253237269743,Large
86,75.8,31.1,48.3,30.0,False,113861.454,0.00026347810383661535,Large
87,111.4,29.9,41.9,30.0,False,139563.034,0.00021495663386051064,Large
88,19.7,12.6,19.6,0.992,False,4865.112,0.0002039007529528611,Medium
89,31.6,52.7,59.2,30.0,False,98586.94400000002,0.00030429992839619814,Large
90,15.0,45.2,26.1,8.067,False,17695.8,0.00045587088461668875,Large
91,45.8,13.6,6.8,1.503,False,4235.584,0.0003548507124401263,Medium
92,52.8,29.5,53.4,30.0,True,83175.84,0.000360681659481888,Large
93,39.8,73.6,18.3,15.051,False,53605.824,0.00028077173107160893,Large
94,101.2,26.8,75.5,30.0,False,204768.08000000002,0.0001465072095221091,Large
95,49.2,20.1,76.5,18.594,False,75652.38,0.00024578208907637805,Large
96,40.9,44.3,73.6,30.0,False,133353.63199999998,0.00022496575121403522,Large
97,69.7,79.0,32.8,10.46,False,180606.63999999998,5.791592158516432e-05,Large
98,25.5,26.9,6.2,0.484,True,4252.889999999999,0.00011380496556459257,Medium
99,98.2,57.0,74.6,30.0,False,417566.04000000004,7.184492302103878e-05,Large
100,18.2,63.3,37.1,3.095,True,42741.426,7.241218390794917e-05,Large
101,118.6,26.6,77.5,30.0,False,244493.90000000002,0.00012270244779113098,Large
102,94.9,61.0,77.3,30.0,False,447481.97000000003,6.704180729337542e-05,Large
103,31.9,35.7,69.0,24.422,False,78579.26999999999,0.000310794437260616,Large
104,10.6,54.3,27.1,1.619,False,15598.217999999999,0.0001037939077399739,Large
105,99.7,54.3,33.9,30.0,True,183524.769,0.00016346567367154675,Large
106,87.8,47.5,68.8,30.0,True,286930.39999999997,0.00010455497221625873,Large
107,90.2,16.3,28.8,6.151,False,42343.488000000005,0.00014526436745125953,Large
108,94.8,68.5,17.7,30.0,False,114940.26,0.00026100515171968464,Large
109,18.1,32.5,46.8,7.41,True,27530.1,0.00026915993766822496,Large
110,49.4,23.1,75.2,30.0,True,85813.72800000002,0.00034959441454402254,Large
111,22.7,12.9,57.2,6.688,False,16749.876,0.00039928653800183357,Large
112,104.9,51.4,47.8,19.308,True,257730.90800000002,7.491534542686669e-05,Large
113,78.6,57.4,12.3,14.208,False,55493.172,0.00025603149879412193,Large
114,46.4,11.2,51.1,10.469,False,26555.647999999997,0.00039422875314509365,Large
115,17.0,45.8,79.3,20.173,True,61742.97999999999,0.00032672540262876853,Large
116,44.2,25.9,15.5,9.246,True,17744.09,0.0005210749043766122,Large
117,45.8,55.2,43.9,30.0,False,110986.22399999999,0.0002703038171656331,Large
118,90.3,22.2,70.8,19.815,False,141929.92799999999,0.00013961114670614082,Large
119,80.1,58.4,60.6,25.176,False,283477.10399999993,8.881140538249609e-05,Large
120,107.6,37.1,57.3,30.0,False,228739.308,0.00013115367123520371,Large
